name;media 11 GHz;std 11 GHz;media 13 GHz;std 13 GHz;media 17 GHz;std 17 GHz;media 19 GHz;std 19 GHz;glat;glon;SNR 11 GHz;SNR 13 GHz;SNR 17 GHz;SNR 19 GHz
MFI-PSCe-001;0.33236867;0.31192172;0.5890981;0.3388324;5.544814e-10;3.7280827e-09;3.3636397e-08;2.3526218e-07;81.6509980915853;0.06799933158065;1.0503471428603826;1.880315862634101;0.8924471294790195;1.5335521524299465
MFI-PSCe-002;0.62259054;0.3777007;0.9999852;5.1592535e-05;0.42839512;0.33411044;0.415187;0.3707812;65.91999532506779;2.2770036574385037;3.049358626317292;3.6430228197736847;3.576723627336471;3.3154519391609307
MFI-PSCe-006;0.8490551;0.2485586;0.31054208;0.26969242;0.004877857;0.020284468;8.959579e-08;6.1901363e-07;80.49999717970135;3.450999143620127;1.1620812579047213;1.4119808017484918;1.5108797807890622;1.4507500703537923
MFI-PSCe-010;1.0;6.4196165e-08;0.99998915;7.5466996e-05;0.4272734;0.41305667;2.1887784e-06;1.399369e-05;73.06599919689653;8.915001440059722;5.74278291736429;5.238736193757409;2.2040145061999796;1.6917817610408339
MFI-PSCe-018;0.69177675;0.36869246;0.88931113;0.24365501;0.3169816;0.40183532;0.10672459;0.21029615;61.745000334761095;18.670002797361786;4.487438884190609;4.426760551224847;2.418187818822833;2.70094580030277
MFI-PSCe-020;0.26450846;0.3842967;0.2670723;0.37384528;0.032015387;0.10812565;0.038835216;0.10286699;-34.16000604092757;19.66200817502213;0.5029417396499505;0.37519455279499275;1.5377834702777105;1.3644889473201862
MFI-PSCe-023;1.0;0.0;0.9996979;0.001422058;0.7192231;0.2841655;0.0018225004;0.0075758495;-40.16900866617594;21.428007394316225;6.666503030122637;4.323869360492289;2.3539104941963784;1.549623810430566
MFI-PSCe-024;0.775165;0.30517626;0.9900654;0.024904747;0.9999972;9.050663e-06;0.48703846;0.37436858;52.50099716658613;22.4120042243319;2.4731941284861247;2.7587786519048296;3.0827476092649664;2.19047494277917
MFI-PSCe-025;0.9999466;0.00023137341;0.9293877;0.118400425;0.9999556;0.00029896715;0.0807179;0.20134804;80.94599686890591;22.62199315391237;4.320994221664732;3.3981072259512555;2.408500724344078;1.9417357273730511
MFI-PSCe-027;0.743472;0.3408358;0.783358;0.3149948;0.74712104;0.3708859;0.9158495;0.20801269;42.20099795484304;23.12100463822188;2.0026008632514505;1.6089908693145198;2.3736258774294448;2.649325140618451
MFI-PSCe-029;5.8082414e-06;2.2202437e-05;0.063167475;0.1800344;0.3406168;0.35928926;5.8213693e-05;0.00034602807;45.23199620931768;23.79800444845774;1.217494873466544;1.9015422819902785;2.025473329231069;1.4703939554232768
MFI-PSCe-033;0.99999833;9.706887e-06;0.9879152;0.07631868;0.10621082;0.21119681;0.4493419;0.43221265;48.84299629158606;24.378004062884678;3.473407971814717;3.6285871149770874;2.0148586849793326;1.114949489193551
MFI-PSCe-034;0.259596;0.3855983;0.16167784;0.29973823;1.3855148e-05;9.685445e-05;1.12331826e-07;5.033632e-07;-46.87399512039666;24.71500863416789;2.2482296173923957;1.808949766750854;1.8876891861851455;1.272902902529832
MFI-PSCe-035;6.3661845e-09;4.441539e-08;1.0173484e-06;5.19228e-06;2.1786065e-10;9.1585467e-10;0.0003321598;0.0014998862;62.22499628815903;25.109001410997;0.5129382045883351;;1.459032134418012;1.2991121767895288
MFI-PSCe-037;0.99469817;0.017994553;0.4391738;0.43014795;0.99970186;0.0006366219;0.0013619452;0.005396268;-54.58400176676013;26.509010073792076;2.25314719284915;2.0924368927404005;1.4441504328819221;1.299763668183748
MFI-PSCe-039;0.28049618;0.37069446;0.8747264;0.2523842;0.47848645;0.35397017;0.4977794;0.37777862;55.84799749554684;27.954003382940037;3.4995037704641536;3.133776283454705;3.202222083337771;2.5444279087829247
MFI-PSCe-040;0.9828821;0.06476088;0.69988424;0.29456267;1.2099241e-07;8.049188e-07;0.011146136;0.05306809;-61.40300194414232;28.231011248967427;0.6745492127552102;0.5419404880253759;0.8891023910562538;1.453790239046924
MFI-PSCe-041;0.10776591;0.27767828;2.9094414e-07;1.0904131e-06;5.014779e-10;2.836357e-09;5.9640444e-09;3.136374e-08;-51.92999472391155;28.68900828942168;1.0779988010752626;;3.287656992264799;3.4466809581352207
MFI-PSCe-042;0.18904036;0.25704306;0.082600005;0.16815461;0.06145377;0.13560286;0.039695308;0.08653447;43.389997369979326;29.407003634818253;0.8539422263218264;1.4139963316153583;0.8035193136548633;0.8427124923260747
MFI-PSCe-043;0.00013708962;0.00061697274;0.766831;0.296077;0.030607043;0.091619335;0.0010533733;0.0073571578;34.55999935743633;29.50200544182996;1.666187188914838;1.8593552185041053;0.44248978272286504;0.22249899141381163
MFI-PSCe-044;0.9101307;0.2274172;0.92018527;0.19350052;0.24255453;0.34188586;0.0041151885;0.013829401;65.95799817677806;29.73900136633555;1.9037999297970163;1.6204444742907358;2.58994094413349;1.6323063208445554
MFI-PSCe-046;0.4771993;0.36967835;0.09482603;0.19512044;0.18593706;0.28861335;6.041157e-05;0.00026064058;49.43799788827204;33.82100250699533;2.698010912039153;1.6728317729572615;2.083346792845077;1.4629356046304736
MFI-PSCe-048;0.9893936;0.040561788;0.84028196;0.24090317;0.007419774;0.051729873;0.009643298;0.038284063;43.584997253934965;33.97400290926848;2.239503776562026;1.8867576501338659;1.7332057322555252;1.8150097021109026
MFI-PSCe-051;0.23084185;0.2978858;0.1529347;0.26343775;0.9702811;0.0873064;0.8036782;0.19838217;35.87299932728933;35.34700453644234;1.744697417028989;1.532436697320321;3.7332938073190634;2.069761933995917
MFI-PSCe-053;0.99999994;3.260325e-07;0.99999917;3.966052e-06;0.6398259;0.40398452;0.9993662;0.0024998635;-46.94099600057192;36.11000951771517;2.0633442571616816;2.1372241293647143;1.4220696812396525;2.60859566555908
MFI-PSCe-054;0.9965507;0.009102259;0.9201311;0.17426197;0.0035621566;0.008314096;0.1663142;0.24199443;78.72599618893979;36.15799453937316;0.6813830347531431;0.5251864869376016;0.4397257758253215;0.48268914188776063
